title,authors,re_article,re_details
[Re] RELIC: Reproducibility and Extension on LIC metric in quantifying bias in captioning models,"Paula Antequera, Egoitz Gonzalez, Marta Grasa, Martijn van Raaphorst",https://github.com/ReScience/MLRC/blob/main/2022/36/article.pdf,https://openreview.net/forum?id=9_hCoP3LXwy
[Re] VAE Approximation Error: ELBO and Exponential Families,"Volodymyr Kyrylov, Navdeep Singh Bedi, Qianbo Zang",https://github.com/ReScience/MLRC/blob/main/2022/37/article.pdf,https://openreview.net/forum?id=ozbAwipuZu
[Re] CrossWalk Fairness-enhanced Node Representation Learning,"Gijs Joppe Moens, Job de Witte, Tobias Pieter Göbel, Meggie van den Oever",https://github.com/ReScience/MLRC/blob/main/2022/38/article.pdf,https://openreview.net/forum?id=KNp7Zq3KkT0&noteId=xqiAvezWIN
[Re] CrossWalk: Fairness-enhanced Node Representation Learning,"Luca Pantea, Andrei Blahovici",https://github.com/ReScience/MLRC/blob/main/2022/39/article.pdf,https://openreview.net/forum?id=tpk45Zll8eh
[Re] Masked Autoencoders Are Small Scale Vision Learners: A Reproduction Under Resource Constraints,"Athanasios Charisoudis, Simon Ekman von Huth, Emil Jansson",https://github.com/ReScience/MLRC/blob/main/2022/40/article.pdf,https://openreview.net/forum?id=KXfjZPL5pqr
[Re] On Explainability of Graph Neural Networks via Subgraph Explorations,"Yannik Mahlau, Lukas Berg, Leo Kayser",https://github.com/ReScience/MLRC/blob/main/2022/41/article.pdf,https://openreview.net/forum?id=zKBJw4Ht8s
Towards Understanding Grokking,"Alexander Shabalin, Ildus Sadrtdinov, Evgeniy Shabalin",https://github.com/ReScience/MLRC/blob/main/2022/42/article.pdf,https://openreview.net/forum?id=Vz9VLcJqKS
[Re] Reproducibility Study of Behavior Transformers,"Skander Moalla, Manuel Madeira, Lorenzo Riccio, Joonhyung Lee",https://github.com/ReScience/MLRC/blob/main/2022/43/article.pdf,https://openreview.net/forum?id=E0qO5dI5aEn
A Replication Study of Compositional Generalization Works on Semantic Parsing,"Kaiser Sun, Adina Williams, Dieuwke Hupkes",https://github.com/ReScience/MLRC/blob/main/2022/44/article.pdf,https://openreview.net/forum?id=MF9uv95psps
[Re] Pure Noise to the Rescue of Insufficient Data,"Seungjae Ryan Lee, Seungmin Lee",https://github.com/ReScience/MLRC/blob/main/2022/45/article.pdf,https://openreview.net/forum?id=ErBe4MnsVD
